year,type,country,activity,sex,age,fatal,time,species
2014,Unprovoked,FP,Surfing,M,21,N,16,Blacktip Shark
2014,Boating,PNG,Sailing,M,21,N,22,Unknown Shark
2014,Unprovoked,AUS,Fishing,M,28,Y,12,Unknown Shark
2014,Unprovoked,NZ,Surfing,M,28,N,20,Unknown Shark
2013,Unprovoked,NC,Diving,M,37,N,11,Bull Shark
2013,Unprovoked,SA,Surfing,M,19,N,8,White Shark
2013,Unprovoked,USA,Surfing,M,29,N,8,Tiger Shark
2013,Unprovoked,USA,Surfing,M,30,N,14,Unknown Shark
2013,Unprovoked,AUS,Surfing,M,26,N,18,Wobbegong Shark
2013,Unprovoked,USA,Fishing,M,57,Y,9,Unknown Shark
2013,Unprovoked,AUS,Surfing,M,19,Y,14,Tiger Shark
2013,Unprovoked,USA,Diving,F,58,N,13,Unknown Shark
